Start IP,End IP,Country Code,Country,Region,City,CIDR
39.32.229.0,39.32.229.255,PK,Pakistan,Islamabad,Islamabad,39.32.229.0/24
39.32.230.0,39.32.242.255,PK,Pakistan,Punjab,Rawalpindi,39.32.230.0/23
39.32.243.0,39.32.244.255,PK,Pakistan,Islamabad,Islamabad,39.32.243.0/24
39.32.245.0,39.32.245.255,PK,Pakistan,Punjab,Rawalpindi,39.32.245.0/24
39.32.246.0,39.32.246.255,PK,Pakistan,Islamabad,Islamabad,39.32.246.0/24
39.32.247.0,39.32.255.255,PK,Pakistan,Punjab,Rawalpindi,39.32.247.0/24
39.33.0.0,39.33.0.255,PK,Pakistan,Khyber Pakhtunkhwa,Timergara,39.33.0.0/24
39.33.1.0,39.33.1.255,PK,Pakistan,Khyber Pakhtunkhwa,Chitral,39.33.1.0/24
39.33.2.0,39.33.2.255,PK,Pakistan,Khyber Pakhtunkhwa,Noorabad,39.33.2.0/24
39.33.3.0,39.33.3.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.3.0/24
39.33.4.0,39.33.4.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.4.0/24
39.33.5.0,39.33.6.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.5.0/24
39.33.7.0,39.33.7.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.7.0/24
39.33.8.0,39.33.8.255,PK,Pakistan,Islamabad,Islamabad,39.33.8.0/24
39.33.9.0,39.33.9.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.9.0/24
39.33.10.0,39.33.10.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.10.0/24
39.33.11.0,39.33.11.255,PK,Pakistan,Islamabad,Islamabad,39.33.11.0/24
39.33.12.0,39.33.13.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.12.0/23
39.33.14.0,39.33.14.255,PK,Pakistan,Islamabad,Islamabad,39.33.14.0/24
39.33.15.0,39.33.15.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.15.0/24
39.33.16.0,39.33.16.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.16.0/24
39.33.17.0,39.33.17.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.17.0/24
39.33.18.0,39.33.18.255,PK,Pakistan,Punjab,Lahore,39.33.18.0/24
39.33.19.0,39.33.19.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.19.0/24
39.33.20.0,39.33.20.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.20.0/24
39.33.21.0,39.33.21.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.21.0/24
39.33.22.0,39.33.22.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.22.0/24
39.33.23.0,39.33.23.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.23.0/24
39.33.24.0,39.33.24.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.24.0/24
39.33.25.0,39.33.25.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.25.0/24
39.33.26.0,39.33.26.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,39.33.26.0/24
39.33.27.0,39.33.28.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.27.0/24
39.33.29.0,39.33.29.255,PK,Pakistan,Khyber Pakhtunkhwa,Swabi,39.33.29.0/24
39.33.30.0,39.33.31.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.30.0/23
39.33.32.0,39.33.32.255,PK,Pakistan,Khyber Pakhtunkhwa,Chitral,39.33.32.0/24
39.33.33.0,39.33.34.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.33.0/24
39.33.35.0,39.33.35.255,PK,Pakistan,Khyber Pakhtunkhwa,Alpurai,39.33.35.0/24
39.33.36.0,39.33.36.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.36.0/24
39.33.37.0,39.33.37.255,PK,Pakistan,Islamabad,Islamabad,39.33.37.0/24
39.33.38.0,39.33.39.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.38.0/23
39.33.40.0,39.33.40.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.40.0/24
39.33.41.0,39.33.41.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.41.0/24
39.33.42.0,39.33.42.255,PK,Pakistan,Islamabad,Islamabad,39.33.42.0/24
